(40, 7.685503160331443e-05)
(48, 7.663562368138701e-05)
(56, 7.651241100997939e-05)
(72, 7.752540031283112e-05)
(104, 7.797840046844133e-05)
(120, 7.958236084503065e-05)
(128, 7.942873202006858e-05)
(152, 8.104655974228362e-05)
(168, 8.060897678985845e-05)
(176, 8.091790129033578e-05)
(192, 8.130018585477485e-05)
(208, 8.223204749942863e-05)
(216, 8.3211710075943e-05)
(232, 8.350782850210999e-05)
(240, 8.428300966764768e-05)
(296, 8.665862610444709e-05)
(312, 8.594836143444587e-05)
(328, 8.791668707289565e-05)
(336, 8.686843186453416e-05)
(376, 8.948923857233086e-05)
(384, 9.104650493430782e-05)
(400, 9.17793118892176e-05)
(408, 9.242074798584416e-05)
(416, 9.30269405624473e-05)
(440, 9.335203888083427e-05)
(480, 9.486833898868249e-05)
(504, 9.542379522016214e-05)
(520, 9.799983127428341e-05)
(536, 9.691731318301798e-05)
(544, 0.0001012022043512898)
(592, 0.00010594860397123435)
(600, 0.00010522117045347787)
(632, 0.00010912099960904326)
(640, 0.00010471326719055699)
(648, 0.00010838625369680998)
(776, 0.00011297680071946435)
(792, 0.00012087765748051352)
(824, 0.00012581536917753174)
(832, 0.0001200706045356941)
(872, 0.00012592000506152473)
(888, 0.0001286369568181093)
(952, 0.00014641421942830862)
(960, 0.00014452676786628165)
(976, 0.00014409889447071625)
(992, 0.00014634032337869758)
(1008, 0.00015327590638334473)
(1024, 0.00015725506274432468)
(1064, 0.00015939314146473014)
(1072, 0.00016584127065877188)
(1104, 0.0001673434923041229)
(1160, 0.00018537294246834176)
(1168, 0.00019375488078927867)
(1216, 0.00021446678643973946)
(1224, 0.00020196780161747308)
(1232, 0.00020584293979379538)
(1248, 0.00020938487485394446)
(1256, 0.00020835708799968637)
(1304, 0.00023847177992895023)
(1400, 0.00028296833803792207)
(1456, 0.00031522230280693034)
(1536, 0.00035375078566424314)
(1544, 0.0003965315216965337)
(1552, 0.0003791760828236871)
(1560, 0.0004257501547437239)
(1568, 0.00043555542485836817)
(1584, 0.00044117097052267216)
(1632, 0.0005279101537331348)
(1648, 0.0005091029125220177)
(1688, 0.0006467462023305506)
(1704, 0.0006266428366422782)
(1712, 0.0006476708357061739)
(1720, 0.0006756603493014318)
(1744, 0.0007966301890150817)
(1776, 0.0008677617941080465)
(1800, 0.0010261865729201207)
(1840, 0.0012817189402967294)
(1888, 0.0014862431876513783)
(1928, 0.002437939100140482)
(1936, 0.002829538713869877)
(1984, 0.005365409470367126)
(2000, 0.019082573101672138)
(24, 7.566124939653934e-05)
(64, 7.652770088818626e-05)
(88, 7.744726936620559e-05)
(136, 7.921803388149983e-05)
(200, 8.311898072231892e-05)
(224, 8.1991846457222e-05)
(272, 8.722660950750762e-05)
(344, 8.786153437570779e-05)
(360, 8.535866918706141e-05)
(424, 9.153238185235203e-05)
(448, 9.26388443400034e-05)
(456, 9.283250169390351e-05)
(496, 9.809704131821986e-05)
(560, 0.00010052986060018636)
(608, 0.00010506080919119907)
